year,team,player,goals,shots,mins,gps
2009,MTL,Carey Price,15,123,219,0.15871085833167264
2009,MTL,Jaroslav Halak,0,5,20,0.0692716961162299
2009,NJD,Martin Brodeur*,17,239,427,1.5597644927445282
2009,NYR,Henrik Lundqvist,19,207,380,0.9103759221169796
2009,NYR,Steve Valiquette,0,9,40,0.12468905300921382
2009,PHI,Martin Biron,16,198,375,1.0947614423332828
2009,PIT,Marc-Andre Fleury,63,686,1447,3.013510669410895
2009,PIT,Mathieu Garon,0,8,24,0.1108347137859678
2009,SJS,Evgeni Nabokov,17,155,362,0.39599999799186636
2009,STL,Chris Mason,10,119,256,0.618417790147883
2009,VAN,Roberto Luongo,26,304,618,1.533072822578967
2009,WSH,Jose Theodore,6,33,97,-0.1609559520839159
2009,WSH,Semyon Varlamov,32,389,759,2.0925425101038413
2010,BOS,Tuukka Rask,36,409,829,2.174958241375876
2010,BUF,Ryan Miller,15,204,384,1.3578762721554283
2010,CHI,Antti Niemi,58,645,1322,3.3165682696656247
2010,CHI,Cristobal Huet,0,3,20,0.040345340389472156
2010,COL,Craig Anderson,16,239,366,1.7361981184106918
2010,COL,Peter Budaj,1,4,9,-0.03858000443594903
2010,DET,Jimmy Howard,33,387,720,2.156213786718815
2010,LAK,Erik Ersberg,2,4,13,-0.13095379605786095
2010,LAK,Jonathan Quick,21,181,360,0.4943192461046701
2010,MTL,Carey Price,8,73,135,0.24274628316852748
2010,MTL,Jaroslav Halak,43,562,1013,3.585954059885573
2010,NJD,Martin Brodeur*,15,126,299,0.30889742202915227
2010,NSH,Pekka Rinne,16,179,358,0.9292913106212489
2010,OTT,Brian Elliott,14,95,203,-0.015630637040148193
2010,OTT,Pascal Leclaire,10,125,211,0.7573179333422212
2010,PHI,Brian Boucher,27,298,656,1.5135447715626136
2010,PHI,Johan Backlund,0,0,1,0
2010,PHI,Michael Leighton,31,371,757,2.1257862212187884
2010,PHX,Ilya Bryzgalov,24,255,419,1.2123829341792478
2010,PIT,Brent Johnson,1,7,31,0.0017653359535231442
